Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
clKG6W2i0gM,Tonality & Pitch (Sales Training),"Jan 6, 2023",109,211,0:01:12,66.32,,,40,,,,,,3,0,10,0,100,4,0,211,4.237,3,2233,5.28
AipOjL9zR1g,Nick & Evan Reveal The Dark Side of Success (What No One Talks About),"Jun 30, 2025",5567,209,0:12:14,13.19,,,11,,,,,,3,1,5,0,100,3,1,209,42.6161,2,4008,3.22
8HlILAOtsNY,10 Books That Will Make You More Money in Sales,"Feb 20, 2026",2287,204,0:05:18,13.92,,,83,,,,,,3,0,11,1,91.67,2,0,204,18.0408,3,1542,3.44
K5fRVUbeskI,Master you time,"Aug 18, 2025",40,203,0:00:17,43.53,27.78,,2,,,,,,0,0,5,0,100,0,1,686,1.1821,0,364,3.3
W30L6UTF8sY,Sales Mistakes That Keeps You  Broke,"Nov 4, 2025",2137,185,0:08:39,24.29,,,9,,,,,,1,0,12,0,100,6,1,185,26.6718,1,2965,4.69
sphPNiJF3gg,The #1 Problem Killing Salespeople.,"Feb 28, 2026",586,173,0:02:31,25.78,,,10,,,,,,2,0,4,0,100,2,1,173,7.2592,2,3118,4.11
 -IsFzYF39Hc,Door to door sales ain’t for the weak. Take the L’s and keep sprinting.,"Apr 29, 2025",11,162,0:00:15,142.8,76.81,,9,,,,,,0,0,3,1,75,0,2,362,0.7239,0,984,11.08
dllYjMS-Xz8,The TRUTH Behind Why People Hate Sales!,"Sep 28, 2022",121,158,0:01:16,63.32,,,46,,,,,,1,0,3,1,75,0,0,158,3.3624,1,1365,9.6
BMt40CcnZ7M,The Sales Truth Nobody Wants to Hear,"Apr 20, 2026",2552,147,0:09:06,21.41,,,94,,,,,,1,0,9,3,75,4,4,147,22.3085,1,1663,5.83
14dtBPxsI6k,How to Make $10K PER DAY in Solar ‼️,"Jul 5, 2024",237,145,0:02:19,58.68,,,6,,,,,,5,0,6,0,100,2,2,145,5.6019,5,985,11.07
8HFbLlUmVow,The Rule That Will Double Your Income,"Mar 6, 2026",1134,142,0:04:22,23.19,,,11,,,,,,2,0,1,0,100,1,0,142,10.3716,2,2452,3.51
4f3QWwITtE0,Why Your Team Isn’t Growing,"Mar 3, 2026",5178,140,0:11:56,13.84,,,37,,,,,,2,0,3,0,100,6,1,140,27.8679,2,2783,3.31
fTNnQ_Cu4B8,How Donnie Built a $250M Sales Org Without Burning Out,"Jun 23, 2025",2414,139,0:06:43,16.73,,,4,,,,,,4,0,6,1,85.71,12,2,139,15.5956,4,2401,4
QD9ZzuD5RHg,Secrets To A Millionaire Mind,"Jun 9, 2025",4063,136,0:06:54,10.21,,,5,,,,,,3,1,0,1,0,1,0,136,15.6742,2,2940,2.41
pq6m-v-AYpk,Biggest Event of The Year.,"Sep 23, 2025",60,131,0:00:14,24.73,12.84,,2,,,,,,0,0,4,0,100,0,0,812,0.8108,0,445,2.47
_iTs0wXvyi4,Turning No's Into Sales,"Dec 13, 2023",43,129,0:00:46,107.64,90.77,,21,,,,,,1,0,12,0,100,0,0,230,1.6623,1,1009,8.13
xwZ8tXmxo9U,"3 SECRETS to Make $100,000/mo as a Salesperson","Jan 5, 2023",748,128,0:05:25,43.47,,,11,,,,,,1,0,9,0,100,1,1,128,11.5613,1,1422,6.33
